H50,製造拠点,年月度,工程（中分類）,設備,保有台数
DLW32SH-XF,TOM,2024F1,コア自動外観選別,MRV-30（DLW32共用）,3
DLW32SH-XF,TOM,2024F1,コア自動外観選別,LPS-100系（DLW32共用）,3
DLW32SH-XF,TOM,2024F1,コア自動外観選別,MED-250系（DLW32共用）,3
DLW32SH-XF,TOM,2024F1,コア自動外観選別,GRH-**（DLW32共用）,3
DLW32SH-XF,TOM,2024F1,コア自動外観選別,AOI-8**（DLW32共用）,3
DLW32SH-XF,TOM,2024F1,コア自動外観選別,YCW-9**,17
DLW32SH-XF,TOM,2024F1,コア自動外観選別,SCF-2*（DLW32共用）,4
DLW32SH-XF,TOM,2024F1,コア自動外観選別,FMAS-10/FMAA-10（DLW32共用）,2
DLW32SH-XF,TOM,2024F1,コア自動外観選別,SCF-2*/FMAP-1*（DLW32共用）,4
DLW32SH-XF,TOM,2024F1,コア自動外観選別,PH-2**,2
DLW32SH-XF,TOM,2024F1,コア自動外観選別,FMAT-**（DLW32共用）,4
DLW32SH-XF,TOM,2024F1,コア自動外観選別,RTH-12*（DLW32共用）,4
DLW32SH-XF,TOM,2024F1,コア自動外観選別,YCWM-100/YCW-940A（8連）,15
DLW32SH-XF,TOM,2024F1,コア自動外観選別,YCWM-11*（8連）イメセン有,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,YCWX-1*（6連）,14
DLW32SH-XF,TOM,2024F1,コア自動外観選別,COIS-10 NEW,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,YCWP-10,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,PH-202,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,AOI-811（共用）,3
DLW32SH-XF,TOM,2024F1,コア自動外観選別,CMAM-10（共用）,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,初期ライン用巻線機,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,FMAL-10,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,RTH-15*（共用）,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,XCIP-1,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,AAW-36（共用）,1
DLW32SH-XF,TOM,2024F1,コア自動外観選別,YCWX-20（8連）New,1